paper_id,title,summary,authors,categories,primary_category,published,updated,age_days,authors_joined,categories_joined,summary_chars,abs_url,pdf_url,comment,text_for_embedding
10.1145/3637528.3671812,Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,Static benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested.,"['Quang Le', 'Yen Vu']","['Evaluation Methodology', 'Enterprise Systems']",Evaluation Methodology,2026-07-22,2026-07-22,65,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",193,https://doi.org/10.1145/3637528.3671812,https://doi.org/10.1145/3637528.3671812,,"Title: Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Published: 2026-07-22
Categories: Evaluation Methodology, Enterprise Systems
Summary: Static benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested."
10.1145/3637528.3671808,Multi-Agent Consensus for High-Stakes Fact Verification,A single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations.,"['Phong Vu', 'Ngan Hoang']","['Multi-Agent Systems', 'Artificial Intelligence']",Multi-Agent Systems,2026-07-19,2026-07-19,68,"Phong Vu, Ngan Hoang","Multi-Agent Systems, Artificial Intelligence",203,https://doi.org/10.1145/3637528.3671808,https://doi.org/10.1145/3637528.3671808,,"Title: Multi-Agent Consensus for High-Stakes Fact Verification
Authors: Phong Vu, Ngan Hoang
Published: 2026-07-19
Categories: Multi-Agent Systems, Artificial Intelligence
Summary: A single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations."
10.1145/3637528.3671804,Freshness SLAs for Real-Time LLM Knowledge Augmentation,"We define freshness service-level agreements (SLAs) for temporal document ingestion. By tracking document age and update cadence, our orchestrator dynamically prioritizes recrawling high-churn technical corpora.","['Bao Do', 'Linh Ngo']","['Data Management', 'Artificial Intelligence']",Data Management,2026-07-05,2026-07-05,82,"Bao Do, Linh Ngo","Data Management, Artificial Intelligence",211,https://doi.org/10.1145/3637528.3671804,https://doi.org/10.1145/3637528.3671804,,"Title: Freshness SLAs for Real-Time LLM Knowledge Augmentation
Authors: Bao Do, Linh Ngo
Published: 2026-07-05
Categories: Data Management, Artificial Intelligence
Summary: We define freshness service-level agreements (SLAs) for temporal document ingestion. By tracking document age and update cadence, our orchestrator dynamically prioritizes recrawling high-churn technical corpora."
10.1145/3637528.3671807,Synthetic Corruption Testing: Stress-Testing Vector Search Robustness,"We introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval.","['Kien Duong', 'Vy Ly']","['Robustness', 'Information Retrieval']",Robustness,2026-06-25,2026-06-25,92,"Kien Duong, Vy Ly","Robustness, Information Retrieval",206,https://doi.org/10.1145/3637528.3671807,https://doi.org/10.1145/3637528.3671807,,"Title: Synthetic Corruption Testing: Stress-Testing Vector Search Robustness
Authors: Kien Duong, Vy Ly
Published: 2026-06-25
Categories: Robustness, Information Retrieval
Summary: We introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval."
10.1145/3637528.3671802,Data Observability and Quality Gates for Production RAG Systems,Silent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving.,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2026-06-12,2026-06-12,105,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",227,https://doi.org/10.1145/3637528.3671802,https://doi.org/10.1145/3637528.3671802,,"Title: Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Published: 2026-06-12
Categories: Software Engineering, Data Systems
Summary: Silent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving."
10.1145/3637528.3671824,Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,An extended empirical study on tatic benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested Further analysis on scaling parameters.,"['Quang Le', 'Yen Vu']","['Evaluation Methodology', 'Enterprise Systems']",Evaluation Methodology,2026-06-12,2026-06-12,105,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",262,https://doi.org/10.1145/3637528.3671824,https://doi.org/10.1145/3637528.3671824,,"Title: Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Published: 2026-06-12
Categories: Evaluation Methodology, Enterprise Systems
Summary: An extended empirical study on tatic benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested Further analysis on scaling parameters."
10.1145/3637528.3671823,Advanced Perspectives on Hybrid Search Architectures: Combining BM25 with Dense Representations,An extended empirical study on ense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall Further analysis on scaling parameters.,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2026-06-11,2026-06-11,106,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",268,https://doi.org/10.1145/3637528.3671823,https://doi.org/10.1145/3637528.3671823,,"Title: Advanced Perspectives on Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2026-06-11
Categories: Information Retrieval, Algorithms
Summary: An extended empirical study on ense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall Further analysis on scaling parameters."
10.1145/3637528.3671822,Advanced Perspectives on Automated Data Quality Profiling with Great Expectations in CI/CD,An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2026-06-10,2026-06-10,107,"Son Nguyen, Thuy Doan","Data Quality, DevOps",272,https://doi.org/10.1145/3637528.3671822,https://doi.org/10.1145/3637528.3671822,,"Title: Advanced Perspectives on Automated Data Quality Profiling with Great Expectations in CI/CD
Authors: Son Nguyen, Thuy Doan
Published: 2026-06-10
Categories: Data Quality, DevOps
Summary: An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters."
10.1145/3637528.3671821,Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval,An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-06-09,2026-06-09,108,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",266,https://doi.org/10.1145/3637528.3671821,https://doi.org/10.1145/3637528.3671821,,"Title: Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-06-09
Categories: Information Retrieval, Natural Language Processing
Summary: An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters."
10.1145/3637528.3671810,Automated Data Quality Profiling with Great Expectations in CI/CD,Embedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2026-06-08,2026-06-08,109,"Son Nguyen, Thuy Doan","Data Quality, DevOps",203,https://doi.org/10.1145/3637528.3671810,https://doi.org/10.1145/3637528.3671810,,"Title: Automated Data Quality Profiling with Great Expectations in CI/CD
Authors: Son Nguyen, Thuy Doan
Published: 2026-06-08
Categories: Data Quality, DevOps
Summary: Embedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model."
